seed,total_reward,slippage_reward,late_penalty_reward,entry_price,executed_quantity,remaining_quantity,fill_rate,is_bps,completed,action_mkt,action_lmt,action_hold
100,15.200000000000001,15.200000000000001,0.0,99994.5,1000,0,1.0,-1.520083604598253,True,10,0,0
101,-77.713,17.287,-95.0,99985.0,905,95,0.905,-1.9104523137034093,False,10,0,0
102,8.325,8.325,0.0,99998.5,1000,0,1.0,-0.8325124876873153,True,10,0,0
103,-26.956999999999994,73.043,-100.0,99933.0,900,100,0.9,-8.121330180109563,False,10,0,0
104,47.445,47.445,0.0,99992.0,1000,0,1.0,-4.744879590367229,True,10,0,0
105,-32.641,-32.641,0.0,100062.0,1000,0,1.0,3.2620775119425955,True,10,0,0
106,-32.18599999999999,-32.18599999999999,0.0,100006.5,1000,0,1.0,3.2183908045977008,True,10,0,0
107,-72.1,27.9,-100.0,99990.0,900,100,0.9,-3.1003100310031004,False,10,0,0
108,23.255,23.255,0.0,99985.0,1000,0,1.0,-2.3258488773315995,True,10,0,0
109,-17.653,-17.653,0.0,99975.5,1000,0,1.0,1.7657326044880997,True,10,0,0
110,1.0150000000000006,1.0150000000000006,0.0,100009.5,1000,0,1.0,-0.10149035841595054,True,10,0,0
111,-34.838,-34.838,0.0,100046.0,1000,0,1.0,3.4821981888331366,True,10,0,0
112,-83.597,16.403000000000002,-100.0,100007.0,900,100,0.9,-1.8224279855965642,False,10,0,0
113,-12.971000000000002,-12.971000000000002,0.0,100017.0,1000,0,1.0,1.2968795304798186,True,10,0,0
114,17.229,17.229,0.0,99971.0,1000,0,1.0,-1.7233997859379218,True,10,0,0
115,-99.945,-6.944999999999999,-93.0,99995.0,907,93,0.907,0.7657494230830615,False,10,0,0
116,-9.723,-9.723,0.0,99999.0,1000,0,1.0,0.972309723097231,True,10,0,0
117,-32.701,-32.701,0.0,100001.5,1000,0,1.0,3.2700509492357615,True,10,0,0
